17.68083	0.869	0.522	0.51	0.418
17.73092	0.867	0.523	0.512	0.418
17.781	0.867	0.521	0.513	0.416
17.83109	0.868	0.52	0.512	0.417
17.88118	0.874	0.52	0.512	0.417
17.93127	0.868	0.522	0.511	0.417
17.98135	0.87	0.519	0.513	0.416
18.03144	0.872	0.521	0.511	0.418
18.08153	0.868	0.519	0.511	0.417
18.13161	0.873	0.52	0.513	0.415
18.1817	0.87	0.522	0.512	0.416
18.23179	0.869	0.52	0.514	0.417
18.28188	0.87	0.521	0.513	0.417
18.33196	0.87	0.523	0.511	0.419
18.38205	0.868	0.523	0.512	0.418
18.43214	0.87	0.525	0.51	0.418
18.48223	0.866	0.522	0.509	0.42
18.53231	0.861	0.523	0.509	0.417
18.5824	0.866	0.523	0.508	0.42
18.63249	0.865	0.521	0.509	0.419
18.68258	0.862	0.522	0.508	0.419
18.73266	0.863	0.521	0.51	0.419
18.78275	0.862	0.522	0.508	0.419
18.83284	0.866	0.521	0.507	0.42
18.88292	0.864	0.521	0.508	0.419
18.93301	0.862	0.523	0.507	0.419
18.9831	0.862	0.523	0.508	0.42
19.03319	0.862	0.524	0.509	0.419
19.08327	0.863	0.523	0.508	0.42
19.13336	0.865	0.525	0.507	0.42
19.18345	0.864	0.523	0.508	0.42
19.23354	0.862	0.525	0.508	0.422
19.28362	0.864	0.526	0.508	0.42
19.33371	0.862	0.522	0.508	0.419
19.3838	0.861	0.523	0.507	0.42
19.43389	0.864	0.524	0.507	0.422
19.48397	0.859	0.522	0.508	0.421
19.53406	0.861	0.526	0.508	0.419
19.58415	0.863	0.525	0.507	0.419
19.63423	0.866	0.523	0.509	0.42
19.68432	0.865	0.523	0.509	0.42
19.73441	0.862	0.522	0.508	0.421
19.7845	0.862	0.522	0.509	0.421
19.83458	0.865	0.521	0.508	0.419
19.88467	0.866	0.523	0.508	0.421
19.93476	0.865	0.52	0.508	0.42
19.98485	0.865	0.522	0.509	0.419
20.03493	0.864	0.519	0.509	0.419
20.08502	0.866	0.52	0.509	0.419
20.13511	0.865	0.523	0.509	0.419
20.1852	0.867	0.522	0.511	0.418
20.23528	0.87	0.52	0.509	0.418
20.28537	0.866	0.52	0.511	0.419
20.33546	0.866	0.522	0.51	0.417
20.38554	0.866	0.522	0.509	0.418
20.43563	0.867	0.52	0.511	0.419
20.48572	0.87	0.522	0.509	0.417
20.53581	0.869	0.52	0.509	0.417
20.58589	0.871	0.52	0.511	0.419
20.63598	0.865	0.52	0.511	0.419
20.68607	0.868	0.52	0.512	0.417
20.73616	0.871	0.519	0.512	0.417
20.78624	0.87	0.521	0.511	0.416
20.83633	0.871	0.52	0.511	0.415
20.88642	0.869	0.521	0.512	0.416
20.93651	0.866	0.522	0.512	0.418
20.98659	0.869	0.52	0.513	0.417
21.03668	0.87	0.522	0.511	0.417
21.08677	0.871	0.523	0.513	0.415
21.13685	0.869	0.521	0.512	0.417
21.18694	0.871	0.521	0.512	0.417
21.23703	0.872	0.523	0.512	0.416
21.28712	0.869	0.523	0.512	0.417
21.3372	0.871	0.522	0.511	0.418
21.38729	0.866	0.522	0.511	0.418
21.43738	0.866	0.524	0.51	0.418
21.48747	0.865	0.523	0.51	0.419
21.53755	0.867	0.521	0.51	0.418
21.58764	0.867	0.524	0.508	0.418
21.63773	0.862	0.523	0.51	0.418
21.68782	0.865	0.523	0.508	0.418
21.7379	0.868	0.521	0.509	0.42
21.78799	0.862	0.522	0.509	0.42
21.83808	0.865	0.523	0.508	0.421
21.88816	0.863	0.524	0.507	0.42
21.93825	0.868	0.524	0.508	0.419
21.98834	0.864	0.523	0.508	0.42
22.03843	0.861	0.524	0.508	0.42
22.08851	0.863	0.523	0.508	0.42
22.1386	0.866	0.524	0.508	0.419
22.18869	0.859	0.524	0.508	0.419
22.23878	0.863	0.524	0.508	0.421
22.28886	0.858	0.525	0.509	0.419
22.33895	0.863	0.524	0.509	0.42
22.38904	0.864	0.525	0.507	0.421
22.43913	0.866	0.524	0.508	0.42
22.48921	0.861	0.526	0.508	0.419
22.5393	0.864	0.525	0.509	0.421
22.58939	0.865	0.523	0.509	0.42
22.63947	0.868	0.522	0.507	0.421
22.68956	0.864	0.525	0.508	0.421
22.73965	0.867	0.523	0.507	0.42
22.78974	0.862	0.523	0.508	0.421
22.83982	0.865	0.523	0.508	0.42
22.88991	0.864	0.522	0.507	0.42
