Raman Shift / 1/cm	0°	30°	60°	90°	120°	150°	180°	210°	240°	270°	300°	330°
229.78	1.0683608150339353e-05	-1.3796249602219766e-05	-3.457941341528589e-05	-4.6097051328984204e-05	-4.5263021565625245e-05	-3.230080172676452e-05	-1.068360815033935e-05	1.379624960221971e-05	3.457941341528592e-05	4.6097051328984245e-05	4.5263021565625245e-05	3.230080172676443e-05
231.042	1.1494271448050295e-05	-1.699983427306897e-05	-4.0938848129256516e-05	-5.390833069014934e-05	-5.24331195773068e-05	-3.6908496417080416e-05	-1.1494271448050266e-05	1.699983427306891e-05	4.09388481292565e-05	5.39083306901493e-05	5.2433119577306774e-05	3.690849641708038e-05
232.306	3.758265241107955e-05	4.631285301988855e-05	4.2633562062837174e-05	2.75306425805865e-05	5.050909651757716e-06	-1.8782210439302032e-05	-3.758265241107948e-05	-4.631285301988854e-05	-4.2633562062837214e-05	-2.7530642580586555e-05	-5.05090965175775e-06	1.878221043930218e-05
233.568	-0.00010924649164897898	-0.00014802338269360231	-0.0001471375278845518	-0.00010682629130252385	-3.78910362355728e-05	4.119709139107841e-05	0.00010924649164897907	0.0001480233826936022	0.00014713752788455178	0.0001068262913025239	3.789103623557276e-05	-4.119709139107842e-05
234.831	8.516655890057884e-06	3.273409927610325e-06	-2.8469435814364496e-06	-8.204460856940315e-06	-1.1363599471494347e-05	-1.1477870784550646e-05	-8.516655890057904e-06	-3.2734099276103787e-06	2.8469435814364462e-06	8.204460856940325e-06	1.1363599471494347e-05	1.147787078455068e-05
236.093	1.0239556696875245e-05	9.959554365460931e-06	7.0108974848474716e-06	2.183676284951774e-06	-3.2286592120277754e-06	-7.775878080509165e-06	-1.0239556696875257e-05	-9.959554365460925e-06	-7.010897484847459e-06	-2.1836762849517507e-06	3.2286592120277432e-06	7.775878080509134e-06
237.354	0.0001988177830947346	0.00021362607688914337	0.00017119343589887728	8.288965200999793e-05	-2.7624347195857278e-05	-0.0001307364248791455	-0.0001988177830947346	-0.00021362607688914337	-0.0001711934358988773	-8.288965200999799e-05	2.7624347195857244e-05	0.0001307364248791456
238.617	1.2181971656785293e-06	1.0560167186261155e-05	1.7072548937347453e-05	1.9010354987930662e-05	1.585435177166891e-05	8.450187801669539e-06	-1.2181971656785062e-06	-1.0560167186261143e-05	-1.7072548937347423e-05	-1.9010354987930648e-05	-1.5854351771668917e-05	-8.450187801669525e-06
239.878	2.6766139170691255e-05	4.11675433187684e-05	4.453813748020827e-05	3.5974773671439994e-05	1.777199830951697e-05	-5.192769647328393e-06	-2.676613917069127e-05	-4.116754331876839e-05	-4.453813748020827e-05	-3.597477367143998e-05	-1.777199830951695e-05	5.192769647328395e-06
241.139	0.00011648924594653548	3.637891128223044e-05	-5.347912328167169e-05	-0.00012900746995032542	-0.0001699683692282071	-0.0001653863812325559	-0.00011648924594653552	-3.637891128223043e-05	5.3479123281671696e-05	0.00012900746995032537	0.00016996836922820711	0.0001653863812325558
242.4	5.318164738830039e-05	-1.9560403180731808e-05	-8.706125951385978e-05	-0.0001312341216682126	-0.0001402429069021602	-0.00011167371848748081	-5.318164738830043e-05	1.9560403180731777e-05	8.706125951385978e-05	0.0001312341216682126	0.00014024290690216017	0.00011167371848748075
243.662	8.984639827670356e-05	5.810930763048313e-05	1.0801874931942984e-05	-3.939991143135331e-05	-7.904452334476071e-05	-9.75092190618364e-05	-8.98463982767037e-05	-5.8109307630483176e-05	-1.0801874931942984e-05	3.939991143135328e-05	7.904452334476067e-05	9.750921906183632e-05
244.922	-5.203056057395313e-05	-4.633948281237518e-05	-2.8231778053545384e-05	-2.559391164373372e-06	2.3798782520407835e-05	4.378009164800184e-05	5.20305605739532e-05	4.633948281237523e-05	2.8231778053545333e-05	2.5593911643733668e-06	-2.3798782520407892e-05	-4.37800916480018e-05
246.182	8.49229519473424e-05	4.497292804772901e-05	-7.02755560353626e-06	-5.714501140606913e-05	-9.19505075508785e-05	-0.00010211793945379815	-8.492295194734227e-05	-4.497292804772899e-05	7.027555603536202e-06	5.7145011406069024e-05	9.195050755087855e-05	0.00010211793945379827
247.443	-3.5795483869625965e-05	-3.990171949390985e-05	-3.33163216031874e-05	-1.7803842244115314e-05	2.4791622664385725e-06	2.2097877249794496e-05	3.5795483869625965e-05	3.990171949390986e-05	3.331632160318742e-05	1.780384224411535e-05	-2.4791622664386145e-06	-2.209787724979453e-05
248.703	0.00012678119380022046	0.00011021793403575016	6.412186785497386e-05	8.443989652821736e-07	-6.26593259452466e-05	-0.00010937353507046802	-0.0001267811938002205	-0.00011021793403575013	-6.412186785497388e-05	-8.44398965282257e-07	6.265932594524662e-05	0.00010937353507046807
249.962	0.00014688970183755992	8.072719708741293e-05	-7.0660949295343996e-06	-9.296603251647122e-05	-0.0001539557967670942	-0.00017369322960388416	-0.0001468897018375599	-8.072719708741293e-05	7.06609492953437e-06	9.296603251647117e-05	0.00015395579676709417	0.00017369322960388424
251.221	2.8695043167908906e-05	2.1049417150028392e-05	7.763616805651937e-06	-7.6024383921436794e-06	-2.0931426362257e-05	-2.8651855542172108e-05	-2.8695043167908944e-05	-2.1049417150028392e-05	-7.763616805651896e-06	7.602438392143717e-06	2.0931426362256935e-05	2.865185554217202e-05
252.482	-2.351933237287474e-06	1.884119325963823e-05	3.498583723820508e-05	4.175605438226822e-05	3.7337770475492494e-05	2.2914861122629967e-05	2.3519332372873933e-06	-1.8841193259638247e-05	-3.498583723820512e-05	-4.175605438226822e-05	-3.733777047549253e-05	-2.291486112262999e-05
253.74	-2.093396216903056e-05	-3.034887009544997e-05	-3.16318227885965e-05	-2.4439054110414213e-05	-1.069786061956593e-05	5.9098159850357825e-06	2.093396216903054e-05	3.034887009544995e-05	3.1631822788596474e-05	2.4439054110414206e-05	1.0697860619565934e-05	-5.909815985035771e-06
254.999	6.546515022845458e-05	5.438909384945621e-05	2.8739523696435454e-05	-4.610778621900263e-06	-3.672562653201915e-05	-5.8999872471356495e-05	-6.546515022845462e-05	-5.438909384945623e-05	-2.8739523696435464e-05	4.6107786219002125e-06	3.672562653201914e-05	5.8999872471356475e-05
256.257	2.131807165490505e-05	-7.825449449606425e-06	-3.487214769368524e-05	-5.257488212490227e-05	-5.6190219348590224e-05	-4.474943267529582e-05	-2.131807165490496e-05	7.825449449606405e-06	3.487214769368524e-05	5.2574882124902226e-05	5.619021934859024e-05	4.474943267529581e-05
257.517	5.331391840570829e-05	0.00010237819828626538	0.0001240103226134643	0.0001124139811432625	7.069640420775603e-05	1.0035782856997147e-05	-5.3313918405708264e-05	-0.00010237819828626534	-0.0001240103226134643	-0.00011241398114326251	-7.069640420775603e-05	-1.0035782856997067e-05
258.775	8.60163452713052e-05	3.62443957446787e-05	-2.3239210351888403e-05	-7.649588880192994e-05	-0.00010925555562319347	-0.0001127402845466087	-8.60163452713051e-05	-3.624439574467868e-05	2.3239210351888396e-05	7.649588880192994e-05	0.00010925555562319343	0.00011274028454660875
260.033	-3.295921058821129e-05	-8.554906535685196e-05	-0.00011521611714988669	-0.00011401110339755975	-8.225690656167537e-05	-2.8462038040707797e-05	3.29592105882113e-05	8.554906535685188e-05	0.00011521611714988679	0.00011401110339755983	8.22569065616754e-05	2.8462038040707763e-05
261.29	1.264339460113873e-05	-5.558020570011266e-05	-0.00010891113476886306	-0.0001330594132295395	-0.00012155452937000175	-7.747920752942688e-05	-1.2643394601138681e-05	5.558020570011264e-05	0.00010891113476886306	0.0001330594132295395	0.0001215545293700018	7.747920752942684e-05
262.548	7.084294342633637e-05	9.465058955513175e-05	9.30966866494999e-05	6.659760173812123e-05	2.225374322316344e-05	-2.805298781701051e-05	-7.084294342633639e-05	-9.465058955513171e-05	-9.309668664949985e-05	-6.65976017381212e-05	-2.2253743223163476e-05	2.8052987817010523e-05
263.806	6.96142126577098e-05	2.5752801371068103e-05	-2.5009052245790353e-05	-6.906975050992152e-05	-9.46232649035001e-05	-9.482255188098963e-05	-6.961421265770976e-05	-2.5752801371068147e-05	2.5009052245790353e-05	6.906975050992149e-05	9.462326490350014e-05	9.482255188098966e-05
265.063	8.900004645483333e-05	4.679683136674279e-05	-7.945556894401856e-06	-6.0558939602276e-05	-9.69456033492352e-05	-0.00010735577096901887	-8.900004645483329e-05	-4.679683136674283e-05	7.945556894401878e-06	6.055893960227596e-05	9.694560334923517e-05	0.00010735577096901879
266.32	2.5054978567006263e-05	3.847633817659203e-05	4.158799404405319e-05	3.3556180492579936e-05	1.6533015477046896e-05	-4.920157684012105e-06	-2.5054978567006277e-05	-3.847633817659205e-05	-4.158799404405322e-05	-3.3556180492579984e-05	-1.653301547704689e-05	4.920157684012119e-06
267.576	3.8704575074567163e-05	3.203581578054289e-05	1.678308551924988e-05	-2.9666589534286025e-06	-2.192148955531732e-05	-3.500247473397146e-05	-3.870457507456724e-05	-3.20358157805429e-05	-1.6783085519249846e-05	2.966658953428615e-06	2.1921489555317328e-05	3.500247473397143e-05
268.833	-5.122334847831481e-05	-6.0989091692616704e-05	-5.441285704077425e-05	-3.3256741286986216e-05	-3.1895085624594184e-06	2.773235040563052e-05	5.1223348478314815e-05	6.0989091692616704e-05	5.441285704077424e-05	3.325674128698621e-05	3.189508562459436e-06	-2.7732350405630518e-05
